"puma"
522
435.5
175.333333333333
167.3
197
256.5
92.6666666666667
324.866666666667
90
99.5
96.6666666666667
103.25
4
15
20.6666666666667
250.75
1810
1000
641
612.492063492063
1736
1594
1380.66666666667
2039.50952380952
1479
2229
2475.33333333333
3709.49880952381
344
2003
1434.66666666667
2774.38333333333
1142
318
45.6666666666667
16
844
1011.5
138
122.3
539
2230.5
436.333333333333
439.083333333333
456
1639
852
496.016666666667
2549
806
101
10
1258
1727.5
247
134
1000
2104
289.333333333333
116.833333333333
856
1904.5
204.333333333333
72.8
