Purpose,EntryPeriod,ReturnPeriod,Percent
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,1,11,0
1,1,12,0
1,1,13,0
1,1,14,0
1,1,15,0
1,1,16,0
1,1,17,0
1,1,18,0
1,1,19,0
1,1,20,0
1,1,21,0
1,1,22,0
1,1,23,0
1,1,24,0
1,1,25,0
1,1,26,0
1,1,27,0
1,1,28,0
1,1,29,0
1,1,30,0
1,1,31,0
1,1,32,0
1,1,33,0
1,1,34,0
1,1,35,0
1,1,36,0
1,1,37,0
1,1,38,0
1,1,39,0
1,1,40,0
1,1,41,0
1,1,42,0
1,1,43,0
1,1,44,0
1,1,45,0
1,1,46,0
1,1,47,0
1,1,48,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,0
1,2,14,0
1,2,15,0
1,2,16,0
1,2,17,0
1,2,18,0
1,2,19,0
1,2,20,0
1,2,21,0
1,2,22,0
1,2,23,0
1,2,24,0
1,2,25,0
1,2,26,0
1,2,27,0
1,2,28,0
1,2,29,0
1,2,30,0
1,2,31,0
1,2,32,0
1,2,33,0
1,2,34,0
1,2,35,0
1,2,36,0
1,2,37,0
1,2,38,0
1,2,39,0
1,2,40,0
1,2,41,0
1,2,42,0
1,2,43,0
1,2,44,0
1,2,45,0
1,2,46,0
1,2,47,0
1,2,48,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0
1,3,15,0
1,3,16,0
1,3,17,0
1,3,18,0
1,3,19,0
1,3,20,0
1,3,21,0
1,3,22,0
1,3,23,0
1,3,24,0
1,3,25,0
1,3,26,0
1,3,27,0
1,3,28,0
1,3,29,0
1,3,30,0
1,3,31,0
1,3,32,0
1,3,33,0
1,3,34,0
1,3,35,0
1,3,36,0
1,3,37,0
1,3,38,0
1,3,39,0
1,3,40,0
1,3,41,0
1,3,42,0
1,3,43,0
1,3,44,0
1,3,45,0
1,3,46,0
1,3,47,0
1,3,48,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0
1,4,14,0
1,4,15,0
1,4,16,0
1,4,17,0
1,4,18,0
1,4,19,0.005178122
1,4,20,0
1,4,21,0
1,4,22,0
1,4,23,0
1,4,24,0
1,4,25,0
1,4,26,0
1,4,27,0
1,4,28,0
1,4,29,0
1,4,30,0
1,4,31,0
1,4,32,0
1,4,33,0
1,4,34,0
1,4,35,0
1,4,36,0
1,4,37,0
1,4,38,0
1,4,39,0
1,4,40,0
1,4,41,0
1,4,42,0
1,4,43,0
1,4,44,0
1,4,45,0
1,4,46,0
1,4,47,0
1,4,48,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,5,14,0
1,5,15,0
1,5,16,0
1,5,17,0
1,5,18,0
1,5,19,0
1,5,20,0
1,5,21,0
1,5,22,0
1,5,23,0
1,5,24,0
1,5,25,0
1,5,26,0
1,5,27,0
1,5,28,0
1,5,29,0
1,5,30,0
1,5,31,0.005178122
1,5,32,0.005178122
1,5,33,0
1,5,34,0
1,5,35,0
1,5,36,0
1,5,37,0
1,5,38,0
1,5,39,0
1,5,40,0
1,5,41,0
1,5,42,0
1,5,43,0
1,5,44,0
1,5,45,0
1,5,46,0
1,5,47,0
1,5,48,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,6,11,0
1,6,12,0
1,6,13,0
1,6,14,0
1,6,15,0
1,6,16,0
1,6,17,0
1,6,18,0
1,6,19,0
1,6,20,0
1,6,21,0
1,6,22,0
1,6,23,0
1,6,24,0
1,6,25,0.005178122
1,6,26,0
1,6,27,0
1,6,28,0
1,6,29,0
1,6,30,0
1,6,31,0
1,6,32,0
1,6,33,0
1,6,34,0
1,6,35,0
1,6,36,0
1,6,37,0
1,6,38,0
1,6,39,0
1,6,40,0
1,6,41,0
1,6,42,0
1,6,43,0
1,6,44,0
1,6,45,0
1,6,46,0
1,6,47,0
1,6,48,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0
1,7,11,0
1,7,12,0
1,7,13,0
1,7,14,0
1,7,15,0
1,7,16,0
1,7,17,0
1,7,18,0
1,7,19,0
1,7,20,0
1,7,21,0
1,7,22,0
1,7,23,0
1,7,24,0.00610878
1,7,25,0
1,7,26,0
1,7,27,0.005178122
1,7,28,0
1,7,29,0
1,7,30,0
1,7,31,0
1,7,32,0
1,7,33,0
1,7,34,0.005178122
1,7,35,0
1,7,36,0
1,7,37,0
1,7,38,0
1,7,39,0
1,7,40,0
1,7,41,0
1,7,42,0
1,7,43,0
1,7,44,0
1,7,45,0
1,7,46,0
1,7,47,0
1,7,48,0
1,8,8,0
1,8,9,0
1,8,10,0
1,8,11,0
1,8,12,0
1,8,13,0
1,8,14,0
1,8,15,0
1,8,16,0
1,8,17,0
1,8,18,0
1,8,19,0
1,8,20,0
1,8,21,0
1,8,22,0
1,8,23,0
1,8,24,0
1,8,25,0
1,8,26,0
1,8,27,0.00610878
1,8,28,0.015534367
1,8,29,0.005178122
1,8,30,0.015534367
1,8,31,0.005178122
1,8,32,0
1,8,33,0
1,8,34,0.005178122
1,8,35,0
1,8,36,0
1,8,37,0.00610878
1,8,38,0
1,8,39,0
1,8,40,0
1,8,41,0
1,8,42,0
1,8,43,0
1,8,44,0
1,8,45,0
1,8,46,0
1,8,47,0
1,8,48,0
1,9,9,0
1,9,10,0
1,9,11,0.005178122
1,9,12,0
1,9,13,0
1,9,14,0
1,9,15,0
1,9,16,0
1,9,17,0
1,9,18,0
1,9,19,0
1,9,20,0
1,9,21,0
1,9,22,0
1,9,23,0.005178122
1,9,24,0
1,9,25,0.01221756
1,9,26,0
1,9,27,0
1,9,28,0
1,9,29,0.031068734
1,9,30,0.070107561
1,9,31,0.031068734
1,9,32,0.027751927
1,9,33,0.005178122
1,9,34,0
1,9,35,0
1,9,36,0.011286902
1,9,37,0
1,9,38,0.011286902
1,9,39,0
1,9,40,0
1,9,41,0
1,9,42,0
1,9,43,0
1,9,44,0
1,9,45,0
1,9,46,0
1,9,47,0
1,9,48,0
1,10,10,0
1,10,11,0
1,10,12,0
1,10,13,0
1,10,14,0.005178122
1,10,15,0
1,10,16,0
1,10,17,0
1,10,18,0
1,10,19,0.00610878
1,10,20,0
1,10,21,0
1,10,22,0
1,10,23,0.011286902
1,10,24,0.005178122
1,10,25,0.005178122
1,10,26,0
1,10,27,0.005178122
1,10,28,0.020712488
1,10,29,0.048464413
1,10,30,0.042355634
1,10,31,0.037177511
1,10,32,0.010356244
1,10,33,0.01221756
1,10,34,0.010356244
1,10,35,0.017395682
1,10,36,0.005178122
1,10,37,0.011286902
1,10,38,0
1,10,39,0.005178122
1,10,40,0
1,10,41,0
1,10,42,0
1,10,43,0
1,10,44,0
1,10,45,0
1,10,46,0
1,10,47,0
1,10,48,0
1,11,11,0
1,11,12,0
1,11,13,0
1,11,14,0
1,11,15,0
1,11,16,0.00610878
1,11,17,0
1,11,18,0
1,11,19,0
1,11,20,0.00610878
1,11,21,0
1,11,22,0
1,11,23,0
1,11,24,0
1,11,25,0.005178122
1,11,26,0
1,11,27,0.011286902
1,11,28,0
1,11,29,0.016465025
1,11,30,0.029613243
1,11,31,0.016465025
1,11,32,0.016465025
1,11,33,0.01221756
1,11,34,0.01221756
1,11,35,0.005178122
1,11,36,0
1,11,37,0
1,11,38,0.005178122
1,11,39,0
1,11,40,0
1,11,41,0
1,11,42,0
1,11,43,0
1,11,44,0
1,11,45,0
1,11,46,0
1,11,47,0
1,11,48,0
1,12,12,0
1,12,13,0
1,12,14,0
1,12,15,0
1,12,16,0
1,12,17,0
1,12,18,0
1,12,19,0.00610878
1,12,20,0.00610878
1,12,21,0
1,12,22,0.00610878
1,12,23,0
1,12,24,0
1,12,25,0.011286902
1,12,26,0
1,12,27,0.011286902
1,12,28,0.00610878
1,12,29,0.00610878
1,12,30,0.022573804
1,12,31,0.010356244
1,12,32,0.011286902
1,12,33,0
1,12,34,0
1,12,35,0
1,12,36,0
1,12,37,0.016465025
1,12,38,0
1,12,39,0
1,12,40,0
1,12,41,0
1,12,42,0
1,12,43,0
1,12,44,0
1,12,45,0
1,12,46,0
1,12,47,0
1,12,48,0
1,13,13,0
1,13,14,0
1,13,15,0
1,13,16,0
1,13,17,0
1,13,18,0
1,13,19,0
1,13,20,0
1,13,21,0.005178122
1,13,22,0
1,13,23,0.00610878
1,13,24,0
1,13,25,0
1,13,26,0
1,13,27,0
1,13,28,0
1,13,29,0.01221756
1,13,30,0.00610878
1,13,31,0
1,13,32,0.005178122
1,13,33,0
1,13,34,0
1,13,35,0
1,13,36,0
1,13,37,0
1,13,38,0
1,13,39,0
1,13,40,0
1,13,41,0
1,13,42,0
1,13,43,0
1,13,44,0
1,13,45,0
1,13,46,0
1,13,47,0
1,13,48,0
1,14,14,0
1,14,15,0
1,14,16,0
1,14,17,0.00610878
1,14,18,0
1,14,19,0
1,14,20,0.00610878
1,14,21,0
1,14,22,0.00610878
1,14,23,0
1,14,24,0
1,14,25,0
1,14,26,0
1,14,27,0
1,14,28,0.00610878
1,14,29,0
1,14,30,0
1,14,31,0
1,14,32,0
1,14,33,0
1,14,34,0
1,14,35,0
1,14,36,0
1,14,37,0
1,14,38,0
1,14,39,0
1,14,40,0
1,14,41,0
1,14,42,0
1,14,43,0
1,14,44,0
1,14,45,0
1,14,46,0
1,14,47,0
1,14,48,0
1,15,15,0
1,15,16,0
1,15,17,0
1,15,18,0
1,15,19,0
1,15,20,0
1,15,21,0
1,15,22,0
1,15,23,0
1,15,24,0
1,15,25,0
1,15,26,0
1,15,27,0.01221756
1,15,28,0
1,15,29,0
1,15,30,0
1,15,31,0
1,15,32,0
1,15,33,0
1,15,34,0
1,15,35,0
1,15,36,0
1,15,37,0.005178122
1,15,38,0
1,15,39,0
1,15,40,0
1,15,41,0
1,15,42,0
1,15,43,0
1,15,44,0
1,15,45,0
1,15,46,0
1,15,47,0
1,15,48,0
1,16,16,0
1,16,17,0
1,16,18,0
1,16,19,0
1,16,20,0
1,16,21,0
1,16,22,0
1,16,23,0
1,16,24,0
1,16,25,0
1,16,26,0
1,16,27,0
1,16,28,0
1,16,29,0
1,16,30,0
1,16,31,0.00610878
1,16,32,0
1,16,33,0.00610878
1,16,34,0
1,16,35,0.00610878
1,16,36,0
1,16,37,0
1,16,38,0
1,16,39,0
1,16,40,0
1,16,41,0
1,16,42,0
1,16,43,0
1,16,44,0
1,16,45,0
1,16,46,0
1,16,47,0
1,16,48,0
1,17,17,0
1,17,18,0
1,17,19,0
1,17,20,0
1,17,21,0
1,17,22,0
1,17,23,0
1,17,24,0
1,17,25,0
1,17,26,0
1,17,27,0
1,17,28,0
1,17,29,0
1,17,30,0.00610878
1,17,31,0
1,17,32,0
1,17,33,0
1,17,34,0
1,17,35,0
1,17,36,0
1,17,37,0
1,17,38,0
1,17,39,0
1,17,40,0
1,17,41,0
1,17,42,0
1,17,43,0
1,17,44,0
1,17,45,0
1,17,46,0
1,17,47,0
1,17,48,0
1,18,18,0
1,18,19,0
1,18,20,0
1,18,21,0
1,18,22,0
1,18,23,0
1,18,24,0
1,18,25,0
1,18,26,0
1,18,27,0
1,18,28,0.00610878
1,18,29,0.00610878
1,18,30,0.00610878
1,18,31,0
1,18,32,0
1,18,33,0
1,18,34,0.00610878
1,18,35,0
1,18,36,0
1,18,37,0
1,18,38,0
1,18,39,0
1,18,40,0
1,18,41,0
1,18,42,0
1,18,43,0
1,18,44,0
1,18,45,0
1,18,46,0
1,18,47,0
1,18,48,0
1,19,19,0
1,19,20,0
1,19,21,0
1,19,22,0
1,19,23,0
1,19,24,0
1,19,25,0
1,19,26,0
1,19,27,0
1,19,28,0
1,19,29,0
1,19,30,0
1,19,31,0
1,19,32,0
1,19,33,0
1,19,34,0
1,19,35,0
1,19,36,0
1,19,37,0
1,19,38,0
1,19,39,0
1,19,40,0
1,19,41,0
1,19,42,0
1,19,43,0
1,19,44,0
1,19,45,0
1,19,46,0
1,19,47,0
1,19,48,0
1,20,20,0
1,20,21,0
1,20,22,0
1,20,23,0
1,20,24,0
1,20,25,0
1,20,26,0
1,20,27,0
1,20,28,0
1,20,29,0.005178122
1,20,30,0.01221756
1,20,31,0
1,20,32,0
1,20,33,0
1,20,34,0
1,20,35,0
1,20,36,0
1,20,37,0
1,20,38,0
1,20,39,0
1,20,40,0
1,20,41,0
1,20,42,0
1,20,43,0
1,20,44,0
1,20,45,0
1,20,46,0
1,20,47,0
1,20,48,0
1,21,21,0
1,21,22,0
1,21,23,0
1,21,24,0
1,21,25,0
1,21,26,0
1,21,27,0
1,21,28,0
1,21,29,0
1,21,30,0
1,21,31,0.00610878
1,21,32,0
1,21,33,0
1,21,34,0.00610878
1,21,35,0
1,21,36,0
1,21,37,0
1,21,38,0
1,21,39,0
1,21,40,0
1,21,41,0
1,21,42,0
1,21,43,0
1,21,44,0
1,21,45,0
1,21,46,0
1,21,47,0
1,21,48,0
1,22,22,0
1,22,23,0
1,22,24,0
1,22,25,0
1,22,26,0
1,22,27,0
1,22,28,0
1,22,29,0
1,22,30,0
1,22,31,0
1,22,32,0
1,22,33,0
1,22,34,0
1,22,35,0
1,22,36,0
1,22,37,0
1,22,38,0
1,22,39,0
1,22,40,0
1,22,41,0
1,22,42,0
1,22,43,0
1,22,44,0
1,22,45,0
1,22,46,0
1,22,47,0
1,22,48,0
1,23,23,0
1,23,24,0
1,23,25,0
1,23,26,0
1,23,27,0
1,23,28,0
1,23,29,0
1,23,30,0
1,23,31,0
1,23,32,0
1,23,33,0
1,23,34,0
1,23,35,0
1,23,36,0
1,23,37,0
1,23,38,0
1,23,39,0
1,23,40,0
1,23,41,0
1,23,42,0
1,23,43,0
1,23,44,0
1,23,45,0
1,23,46,0
1,23,47,0
1,23,48,0
1,24,24,0
1,24,25,0
1,24,26,0
1,24,27,0
1,24,28,0
1,24,29,0
1,24,30,0
1,24,31,0
1,24,32,0
1,24,33,0
1,24,34,0
1,24,35,0.00610878
1,24,36,0
1,24,37,0
1,24,38,0
1,24,39,0
1,24,40,0
1,24,41,0
