"","hhsize1","hhsize2","hhsize3","hhsize4"
"w1",1.214,2.888,4.158,6.546
"w2",0.835,2.127,2.741,5.531
"w3",0,1.361,3.033,5.082
"w4",0,0,1.756,3.51
