"choice","cval0","cval1","cval2","cval3","h1","h2","h3","h4","w1","w2","w3","w4"
"driveAlone",0,-2.4287,-0.0702,0,0,0,0,0,0,0,0,0
"drivePass",0,-0.9272,0,0,0,0,0.5853,0.5853,0,0,0,0
"pass",0,0,0,0,0,0,0,0,0,0,0,0
"busWalk",0.4994,0,0,0,0,0,0,0,0,0.2842,0,0
"parkAndRideBus",0,1.3662,0,0,0,0,0,0,0,0,0,0
"bike",0,0,0,0,0,0,0,0,0,0,0,0
"walk",0,0,0,0,0,0,0,0,0,0,0,0
