"choice","cval0","cval1","cval2","cval3","h1","h2","h3","h4","w1","w2","w3","w4"
"driveAlone",0,-0.6875,0,0,0,0,0,0,0,0,0,0
"drivePass",0,0,0.6456,0,0,0,0,0,0,0,0,0
"pass",0,1.0859,1.1196,0,0,0,0,0,0,0,0,0
"busWalk",1.977,0,0,0,0,0,0,0,0,0,0,0
"bike",0,0,0,0,0,0,0,0,0,0,0,0
"walk",0,0,0,0,0,0,0,0,0,0,0,0
