"choice","utility"
"driveAlone"," -0.05319 * ivTime + -0.2111 * walkTime + -0.1407 * opCost"
"drivePass"," -0.05319 * ivTime + -0.2111 * walkTime + -0.1407 * opCost"
"pass"," -0.05319 * ivTime + -0.2111 * walkTime + -0.1407 * opCost + -0.7154 * lnAutoDist + -0.1271 * mixTotA"
"busWalklowInc"," -0.05319 * ivTime + -0.2111 * walkTime + -0.0652 * waitTimeA + -0.05302 * waitTimeB + -0.1407 * opCost + -0.3 * boardings + 1.022 * lnTranDist"
"busWalkmidInc"," -0.05319 * ivTime + -0.2111 * walkTime + -0.0652 * waitTimeA + -0.05302 * waitTimeB + -0.1407 * opCost + -0.3 * boardings + 1.022 * lnTranDist"
"busWalkhighInc"," -0.05319 * ivTime + -0.2111 * walkTime + -0.0652 * waitTimeA + -0.05302 * waitTimeB + -0.1407 * opCost + -0.3 * boardings + 1.022 * lnTranDist"
"bike"," 0.2431 * mixTotA + -1.588 * lnBikeDist"
"walk"," 0.386 * mixRetP + -2.264 * lnWalkDist"
