"","hhsize1","hhsize2","hhsize3","hhsize4"
"w1",1.162,2.313,3.576,3.791
"w2",1.149,1.713,2.538,3.913
"w3",0,1.798,2.092,4.553
"w4",0,0,1.81,3.402
