"","hhsize1","hhsize2","hhsize3","hhsize4"
"w1",0.752,1.088,1.188,1.323
"w2",0.438,0.853,1.182,1.528
"w3",0,0.652,1.112,1.12
"w4",0,0,0.563,1.046
