"SWIMZONE","LOCALZONE","LOCALPCT","SWIMPCT","LOCALPOP","LOCALEMP","County","AtrFac","ProFac"
2339,1290,100,34.91154843009,177,249,"Marion",0.349188734909274,0.141029198130303
2339,1291,100,9.518196279261,120,32,"Marion",0.0951862625530466,0.0956130156815616
2339,1292,46.395761708843,17.381054075172,251.465028461929,42.2201431550471,"Marion",0.173769410243769,0.200361080914123
2339,1293,30.338953376414,38.189201215477,706.594224136682,15.7762557557353,"Marion",0.38185559229391,0.562996705274012
2340,1292,53.604238291157,15.273105371258,290.534971538071,48.7798568449529,"Marion",0.186319915150191,0.151878709224394
2340,1293,69.661046623586,66.689950121477,1622.40577586332,36.2237442442647,"Marion",0.813680084849809,0.848121290775606
2360,105,100,40.153301886792,128,4,"Benton",0.403560830860534,0.401253918495298
2360,273,100,59.257075471698,191,5,"Benton",0.596439169139466,0.598746081504702
2362,272,100,19.253438113949,74,12,"Benton",0.192534381139489,0.164810690423163
2362,274,100,14.734774066798,71,2,"Benton",0.147347740667976,0.158129175946548
2362,406,100,16.413257025711,80,2,"Benton",0.165029469548134,0.178173719376392
2362,407,100,40.757666353463,191,8,"Benton",0.406679764243615,0.425389755011136
2362,452,100,8.840864440079,33,6,"Benton",0.0884086444007859,0.0734966592427617
2363,100,100,9.265017349376,152,3,"Benton",0.102998696219035,0.141263940520446
2363,101,100,72.964264792033,874,186,"Benton",0.8122555410691,0.812267657992565
2363,102,100,0.673696543644,12,0,"Benton",0.00782268578878748,0.0111524163568773
2363,103,100,1.99179847686,34,0,"Benton",0.0221642764015645,0.0315985130111524
2363,104,100,4.335090802578,2,36,"Benton",0.0482398956975228,0.00185873605947955
2363,275,100,0.468658465144,0,4,"Benton",0.00521512385919166,0
2363,276,100,0.117164616286,2,0,"Benton",0.00130378096479791,0.00185873605947955
2366,269,100,4.285731167533,52,6,"Benton",0.0477583679292241,0.0474047841436717
2366,270,100,13.861661744991,183,12,"Benton",0.154468471271084,0.166828374967152
2366,271,100,0.535716395942,8,0,"Benton",0.00596979599115301,0.00729304371441104
2366,336,100,24.724799773809,317,26,"Benton",0.275356840091932,0.288986857183537
2366,337,79.789473684211,28.19951584193,367.031578947371,27.1284210526317,"Benton",0.314375740889899,0.33459716872906
2366,338,100,17.879534714554,167,50,"Benton",0.199241941204732,0.15224228753833
2366,410,1.108442521943,0.254071378958,2.90411940749066,0.4433770087772,"Benton",0.00282884262197531,0.00264748372383736
2367,337,19.452631578947,9.624946921249,89.4821052631562,6.61389473684198,"Benton",0.232945030203651,0.256706128597024
2367,410,98.891557478057,31.734065490941,259.095880592509,39.5566229912228,"Benton",0.767054969796349,0.743293871402976
2370,106,0.765707742951,0.257513253249,2.17460998998084,0.0765707742951,"Benton",0.00257706555523709,0.00262470539407325
2370,277,100,38.869098578727,323,14,"Benton",0.388593883367596,0.389853742138437
2370,278,100,49.707277874818,423,13,"Benton",0.497090181287894,0.510551495122473
2370,279,2.206907522783,0.770757526067,6.64279164357683,0.15448352659481,"Benton",0.00769632737382033,0.00801770024920856
2370,450,12.659328429582,3.099785702661,25.6984367120515,1.13933955866238,"Benton",0.0309736070813742,0.0310174356634707
2370,451,100,7.295567064478,48,9,"Benton",0.073068935334078,0.0579349214323374
2371,106,99.234292257049,22.825307758333,281.825390010019,9.9234292257049,"Benton",0.228410949783959,0.231860370142104
2371,107,91.208791208791,6.284490158024,72.0549450549449,5.47252747252746,"Benton",0.0628433968611882,0.0592802736134404
