RT,SERIALNO,DIVISION,PUMA,REGION,ST,ADJHSG,ADJINC,WGTP,NP,TYPE,ACR,AGS,BDS,BLD,BUS,CONP,ELEP,FS,FULP,GASP,HFL,INSP,MHP,MRGI,MRGP,MRGT,MRGX,RMS,RNTM,RNTP,SMP,TEL,TEN,VACS,VAL,VEH,WATP,YBL,FES,FINCP,FPARC,GRNTP,GRPIP,HHL,HHT,HINCP,HUGCL,HUPAC,HUPAOC,HUPARC,KIT,LNGI,MV,NOC,NPF,NPP,NR,NRC,OCPIP,PARTNER,PLM,PSF,R18,R60,R65,RESMODE,SMOCP,SMX,SRNT,SVAL,TAXP,WIF,WKEXREL,WORKSTAT,FACRP,FAGSP,FBDSP,FBLDP,FBUSP,FCONP,FELEP,FFSP,FFULP,FGASP,FHFLP,FINSP,FKITP,FMHP,FMRGIP,FMRGP,FMRGTP,FMRGXP,FMVP,FPLMP,FRMSP,FRNTMP,FRNTP,FSMP,FSMXHP,FSMXSP,FTAXP,FTELP,FTENP,FVACSP,FVALP,FVEHP,FWATP,FYBLP,WGTP1,WGTP2,WGTP3,WGTP4,WGTP5,WGTP6,WGTP7,WGTP8,WGTP9,WGTP10,WGTP11,WGTP12,WGTP13,WGTP14,WGTP15,WGTP16,WGTP17,WGTP18,WGTP19,WGTP20,WGTP21,WGTP22,WGTP23,WGTP24,WGTP25,WGTP26,WGTP27,WGTP28,WGTP29,WGTP30,WGTP31,WGTP32,WGTP33,WGTP34,WGTP35,WGTP36,WGTP37,WGTP38,WGTP39,WGTP40,WGTP41,WGTP42,WGTP43,WGTP44,WGTP45,WGTP46,WGTP47,WGTP48,WGTP49,WGTP50,WGTP51,WGTP52,WGTP53,WGTP54,WGTP55,WGTP56,WGTP57,WGTP58,WGTP59,WGTP60,WGTP61,WGTP62,WGTP63,WGTP64,WGTP65,WGTP66,WGTP67,WGTP68,WGTP69,WGTP70,WGTP71,WGTP72,WGTP73,WGTP74,WGTP75,WGTP76,WGTP77,WGTP78,WGTP79,WGTP80
H,2.007E+12,9,600,4,41,1084729,1102938,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,2.007E+12,9,600,4,41,1084729,1102938,16,2,1,3,5,2,2,2,0,60,2,2,3,6,650,0,0,0,0,3,5,0,0,0,1,2,0,20,6,2,5,1,49500,4,0,0,1,1,49500,0,4,4,4,1,1,6,0,2,0,0,0,7,0,1,0,0,0,0,1,281,0,0,0,32,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,17,21,17,5,5,17,5,24,5,28,17,24,28,16,14,19,15,22,29,17,5,23,26,18,17,4,18,19,16,16,5,16,16,23,25,6,4,16,27,16,5,31,21,18,16,4,18,17,18,17,4,16,16,32,25,6,5,5,13,26,17,13,15,4,5,17,5,24,5,34,16,24,33,15,16,16,19,6
H,2.007E+12,9,600,4,41,1084729,1102938,18,2,1,2,1,3,2,2,0,130,2,2,50,1,490,0,1,1300,1,1,7,0,0,160,1,1,0,16,2,2,5,1,76510,4,0,0,1,1,76510,0,4,4,4,1,1,7,0,2,0,0,0,26,0,1,0,0,2,1,2,1640,2,0,1,32,2,4,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,7,20,31,5,4,33,19,15,35,17,32,18,18,18,6,16,6,22,18,5,33,16,6,30,30,5,18,22,5,17,6,18,19,19,31,20,32,17,19,4,31,19,5,28,27,6,17,15,5,20,6,21,20,17,28,17,34,19,19,30,6,19,28,6,6,34,21,18,29,17,31,17,21,18,5,17,5,21,18,26
H,2.007E+12,9,600,4,41,1084729,1102938,21,2,1,0,0,2,6,0,0,20,1,2,3,3,0,0,0,0,0,0,4,2,660,0,1,3,0,0,1,1,6,1,40000,4,680,20,1,1,40000,0,4,4,4,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,38,32,14,30,22,16,7,15,8,21,4,24,24,34,18,15,43,35,23,17,21,24,37,23,5,31,22,44,19,5,21,8,42,25,6,6,24,20,6,7,38,36,24,35,22,15,6,19,5,20,6,21,21,38,26,17,37,35,19,22,17,20,35,23,6,39,21,37,19,6,24,7,31,22,7,7,24,22
H,2.007E+12,9,600,4,41,1084729,1102938,5,4,1,0,0,3,4,0,0,80,1,2,70,1,0,0,0,0,0,0,6,2,60,0,1,3,0,0,1,1,3,7,10800,2,210,23,1,3,10800,0,2,2,2,1,1,1,3,4,0,0,3,0,0,1,0,1,0,0,1,0,0,1,0,0,1,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,2,5,10,9,10,6,1,10,5,5,5,5,2,1,6,5,5,5,1,9,2,4,8,9,8,5,1,9,4,5,5,5,1,1,5,4,5,6,10,1,8,5,2,1,1,5,9,2,5,5,6,5,10,9,5,5,5,5,6,2,8,5,1,1,1,4,6,2,6,7,5,6,9,8,4,7,7
H,2.007E+12,9,600,4,41,1084729,1102938,16,1,1,0,0,1,5,0,0,1,1,2,3,3,0,0,0,0,0,0,3,2,150,0,1,3,0,0,1,2,8,0,0,0,150,20,1,4,8800,0,4,4,4,1,1,3,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,3,6,35,18,4,25,19,16,18,4,12,16,14,16,4,13,21,15,18,28,4,4,26,14,3,32,32,12,12,4,19,13,14,20,6,17,16,15,28,31,5,5,26,17,6,21,20,21,14,6,15,12,17,16,4,12,12,17,18,23,5,5,26,12,4,28,32,16,16,5,25,17,11,14,6,17,13,13
H,2.007E+12,9,600,4,41,1084729,1102938,22,2,1,1,0,3,2,2,0,70,2,2,110,1,300,0,2,570,2,1,6,0,0,0,1,1,0,18,3,960,5,1,94400,4,0,0,1,1,94400,0,4,4,4,1,1,6,0,2,0,0,0,14,0,1,0,0,0,0,1,1105,3,0,1,42,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,37,6,7,24,21,37,31,6,23,22,18,5,28,21,21,41,20,31,26,8,38,7,7,28,23,36,36,6,21,19,22,6,19,19,19,31,24,38,19,5,36,6,6,19,23,44,38,8,22,21,21,7,25,23,20,38,20,35,21,7,35,6,6,22,22,35,37,7,27,22,25,6,21,17,22,43,18,35
H,2.007E+12,9,600,4,41,1084729,1102938,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,2.007E+12,9,600,4,41,1084729,1102938,2,3,1,1,0,3,1,1,0,180,2,2,3,3,420,0,1,1100,1,1,7,0,0,200,1,1,0,17,6,380,3,3,120000,2,0,0,1,1,120000,0,2,2,2,1,1,5,1,3,0,0,1,15,0,1,0,1,0,0,1,1512,1,0,0,24,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,3,1,6,4,4,3,1,3,3,3,4,0,3,3,5,5,3,5,5,1,3,6,1,1,3,3,5,2,3,2,3,5,3,3,1,1,2,5,6,1,3,7,1,1,3,4,6,3,4,3,3,4,3,3,1,0,3,1,1,5,2,1,5,5,3,3,1,2,3,3,2,1,3,3,5,4,3
H,2.007E+12,9,600,4,41,1084729,1102938,4,2,1,1,0,3,2,2,0,190,2,2,3,3,300,0,0,0,0,3,7,0,0,0,1,2,0,8,2,1,3,4,20000,4,0,0,1,1,20000,0,4,4,4,1,1,3,0,2,0,0,0,14,0,1,0,0,2,2,2,240,0,0,1,8,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,1,4,5,7,6,1,1,6,3,0,7,5,3,4,1,4,4,3,4,5,2,3,4,6,6,1,1,6,3,1,5,7,4,4,2,4,4,3,4,4,5,3,3,1,1,5,6,1,4,5,1,1,4,4,7,3,4,5,4,3,6,3,4,1,1,5,7,1,3,7,1,1,4,3,6,3,4
H,2.007E+12,9,600,4,41,1084729,1102938,50,0,1,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,53,14,16,50,76,16,91,46,56,55,51,51,56,16,93,55,50,81,55,52,16,43,50,16,50,49,54,16,86,75,69,83,17,52,46,70,15,54,14,97,46,17,17,44,81,19,80,56,47,50,39,54,51,14,88,49,51,90,53,56,14,55,57,15,51,51,45,15,99,78,66,76,17,48,51,89,14,49,16
H,2.007E+12,9,600,4,41,1084729,1102938,15,2,1,1,0,2,2,2,0,140,2,2,3,3,260,0,2,790,2,1,5,0,0,0,1,1,0,11,4,170,7,1,37200,4,0,0,2,1,37200,0,4,4,4,1,1,7,0,2,0,0,0,33,0,1,0,0,1,0,1,1037,3,0,1,18,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,5,5,5,13,17,15,13,18,27,28,23,14,6,13,28,15,15,4,29,16,5,4,5,18,18,15,16,16,24,27,31,14,4,13,25,12,13,5,25,16,5,5,4,14,16,15,13,17,26,22,23,15,4,16,23,16,17,4,23,16,4,5,4,16,17,15,16,15,27,25,30,16,3,16,27,15,13,4
H,2.007E+12,9,600,4,41,1084729,1102938,22,2,1,1,0,1,1,2,0,60,2,2,80,1,300,4000,0,0,0,3,3,0,0,0,1,2,0,1,0,1,5,4,17300,4,0,0,1,1,17300,0,4,4,4,1,1,3,0,2,0,0,0,35,0,1,0,0,1,0,1,507,0,0,0,4,1,8,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,6,22,20,7,20,7,33,35,19,24,21,6,25,34,21,38,36,22,7,22,8,24,19,6,24,6,31,42,24,20,29,7,21,35,21,39,39,23,40,20,30,26,22,48,24,40,6,6,19,26,23,35,20,8,23,5,6,21,36,19,34,24,20,34,23,36,6,8,25,22,27,39,22,5,21,6,7,25
H,2.007E+12,9,600,4,41,1084729,1102938,18,2,1,2,1,2,2,2,0,70,2,130,3,4,0,0,0,0,0,0,4,2,880,0,1,3,0,0,2,2,7,1,51000,4,961,23,1,1,51000,0,4,4,4,1,1,3,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,6,29,17,16,21,17,23,20,6,33,16,17,33,29,22,6,6,17,6,17,18,19,5,33,33,23,27,5,19,21,30,5,21,14,5,17,19,6,17,34,5,30,17,19,15,19,19,15,6,25,15,20,29,35,16,9,7,17,5,21,16,14,5,33,28,27,33,6,15,15,31,5,13,21,6,22,17,6
H,2.007E+12,9,600,4,41,1084729,1102938,21,2,1,1,0,3,3,2,0,110,2,2,3,3,0,0,0,0,0,0,4,2,830,0,1,3,0,0,2,590,3,5,116550,4,989,10,1,2,116550,0,4,4,4,1,1,3,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,10,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,36,30,15,23,24,5,29,30,23,42,41,7,22,8,23,23,6,18,21,6,34,38,23,17,24,7,20,33,25,40,43,7,19,7,21,20,7,22,19,38,6,6,23,23,21,32,18,7,26,7,7,36,22,35,18,22,41,19,22,37,6,6,21,23,23,38,23,7,21,6,7,39,19,34,23,22,41,18
H,2.007E+12,9,600,4,41,1084729,1102938,12,3,1,1,0,4,2,2,0,170,1,2,3,3,400,0,1,800,1,1,7,0,0,200,1,1,0,15,2,600,9,4,30200,4,0,0,1,1,30200,0,4,4,4,1,1,4,0,3,0,0,0,48,0,1,0,0,2,1,2,1220,1,0,1,24,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,15,12,19,21,18,11,11,17,3,17,12,5,4,4,15,18,4,12,11,12,15,8,19,25,10,14,12,23,3,17,15,3,5,4,16,20,4,23,11,11,11,12,5,3,12,14,18,4,21,3,15,22,27,18,10,5,22,12,10,9,12,12,4,4,11,16,15,3,22,6,12,23,23,34,14,4,23,13,14
H,2.007E+12,9,600,4,41,1084729,1102938,23,3,1,0,0,3,8,0,0,100,1,2,3,3,0,0,0,0,0,0,6,2,650,0,1,3,0,0,0,2,9,8,11800,2,750,76,2,3,11800,0,2,2,2,1,1,4,1,3,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,15,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,21,32,6,6,22,25,35,26,26,24,25,40,21,25,6,8,35,21,38,8,20,35,8,6,25,24,30,21,29,25,24,36,22,28,5,5,28,25,47,6,17,47,7,6,21,18,39,20,27,21,27,36,20,31,6,7,31,22,33,5,26,39,6,5,16,30,36,21,22,27,22,32,23,21,6,9,39,26
H,2.007E+12,9,600,4,41,1084729,1102938,12,1,1,1,0,3,2,2,0,30,2,100,20,1,250,0,1,940,1,1,6,0,0,0,1,1,0,18,1,480,5,0,0,0,0,0,1,6,65400,0,4,4,4,1,1,3,0,0,0,0,0,19,0,1,0,0,0,0,2,1038,3,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,13,17,18,12,4,12,4,23,4,11,4,11,18,23,15,4,11,16,4,5,22,10,10,19,14,22,10,14,12,4,12,4,14,12,3,10,17,10,15,14,11,22,18,10,4,10,4,22,4,11,5,12,23,22,11,4,11,21,3,3,24,12,12,20,10,23,13,11,12,3,11,3,12,12,4,13,21,15
H,2.007E+12,9,600,4,41,1084729,1102938,13,2,1,2,1,3,2,2,0,80,2,2,3,3,300,0,2,1300,2,1,6,0,0,0,1,1,0,20,2,2,5,4,35600,4,0,0,1,1,35600,0,4,4,4,1,1,4,0,2,0,0,0,54,0,1,0,0,2,2,1,1605,3,0,1,36,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,16,14,11,4,3,13,4,22,4,20,11,20,23,12,12,15,13,14,4,11,22,4,3,15,12,25,18,13,13,17,25,14,15,4,3,25,19,4,12,25,12,10,12,3,3,10,4,22,3,24,14,24,26,11,13,14,13,12,4,13,20,4,3,12,17,26,11,15,13,14,28,11,14,5,4,20,19,5
H,2.007E+12,9,600,4,41,1084729,1102938,22,3,1,1,0,4,2,2,0,60,2,2,60,1,600,0,2,600,2,1,9,0,0,0,1,1,0,20,2,1000,2,1,91000,1,0,0,1,1,91000,0,1,1,1,1,1,3,1,3,0,0,1,16,0,1,0,1,0,0,1,1186,3,0,1,52,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,30,23,28,21,38,20,28,32,21,6,32,37,6,23,24,7,24,8,6,20,19,24,29,25,34,16,22,37,28,9,33,32,7,22,20,10,26,5,6,25,18,20,38,23,28,20,28,33,23,6,36,44,7,22,20,9,26,5,6,25,19,18,38,22,40,25,23,45,18,5,37,39,6,29,21,7,21,6
