SERIALNO,PWGTP,AGEP,RELP,SCHG,SEX,WKHP,ESR,PINCP
2.01E+12,16,40,0,0,1,40,1,33000
2.01E+12,21,56,0,0,2,45,1,50000
2.01E+12,17,60,1,0,1,45,1,76000
2.01E+12,19,63,0,0,1,50,1,65100
2.01E+12,17,61,1,0,2,65,1,18000
2.01E+12,19,22,2,0,2,35,1,9500
2.01E+12,27,19,14,6,1,40,6,7800
2.01E+12,21,52,0,0,2,25,6,37900
2.01E+12,20,52,10,0,1,50,1,120000
2.01E+12,40,23,0,0,2,15,1,11000
2.01E+12,39,5,2,1,1,0,0,0
2.01E+12,38,83,0,0,2,0,6,9600
2.01E+12,20,63,0,0,1,75,1,30000
2.01E+12,18,59,1,0,2,0,6,0
2.01E+12,19,62,0,0,1,0,6,54000
2.01E+12,28,58,1,0,2,0,6,0
2.01E+12,99,30,0,0,2,40,1,29600
2.01E+12,60,11,2,4,2,0,0,0
2.01E+12,60,8,2,3,2,0,0,0
2.01E+12,60,6,2,2,2,0,0,0
2.01E+12,14,54,0,0,2,55,1,60000
2.01E+12,63,38,0,0,2,50,1,65000
2.01E+12,49,44,1,0,1,40,1,45000
2.01E+12,40,14,2,5,2,0,0,0
2.01E+12,41,7,2,3,2,0,0,0
2.01E+12,3,59,0,0,1,40,6,25900
2.01E+12,3,47,1,0,2,40,1,22000
2.01E+12,14,42,0,0,2,38,6,17600
2.01E+12,11,41,1,0,1,0,6,0
2.01E+12,11,13,2,4,1,0,0,0
2.01E+12,11,8,2,3,1,0,0,0
2.01E+12,4,32,0,0,2,30,2,26400
2.01E+12,3,11,2,4,1,0,0,0
2.01E+12,3,9,2,3,2,0,0,0
2.01E+12,5,40,9,0,1,30,2,26400
2.01E+12,13,81,0,0,1,0,6,34800
2.01E+12,14,80,1,0,2,0,6,5200
2.01E+12,12,53,2,0,1,0,6,0
2.01E+12,45,63,0,0,2,16,1,11700
2.01E+12,50,61,1,0,1,48,1,64000
2.01E+12,15,32,0,0,2,40,1,10000
2.01E+12,23,30,1,0,1,40,1,20800
2.01E+12,19,11,2,4,1,0,0,0
2.01E+12,19,9,2,3,1,0,0,0
2.01E+12,20,6,2,2,1,0,0,0
2.01E+12,13,48,0,0,2,40,1,38600
2.01E+12,10,56,1,0,1,24,1,24100
2.01E+12,15,18,2,5,2,30,1,3000
2.01E+12,10,16,2,5,2,12,1,700
2.01E+12,9,53,0,0,2,40,1,64000
2.01E+12,17,83,0,0,2,0,6,196100
2.01E+12,24,40,0,0,2,40,1,21000
2.01E+12,23,40,1,0,1,40,1,30000
2.01E+12,17,17,2,0,2,0,6,0
2.01E+12,24,14,2,0,1,0,0,0
2.01E+12,25,10,2,0,1,0,0,0
2.01E+12,21,57,0,0,1,40,1,19000
2.01E+12,35,48,14,0,2,0,6,12100
2.01E+12,13,30,0,0,1,40,1,41500
2.01E+12,18,31,1,0,2,28,1,63000
2.01E+12,14,1,2,0,1,0,0,0
2.01E+12,19,71,0,0,2,0,6,43100
2.01E+12,3,65,0,0,1,0,6,34800
2.01E+12,7,28,2,0,1,40,1,24700
2.01E+12,46,20,0,0,1,45,1,20000
2.01E+12,9,53,0,0,2,30,2,20200
2.01E+12,9,53,1,0,1,40,2,311000
2.01E+12,15,17,2,5,2,0,6,0
2.01E+12,10,63,0,0,2,0,6,14400
2.01E+12,5,39,0,0,1,38,1,14000
2.01E+12,7,39,1,0,2,0,6,7500
2.01E+12,17,18,2,5,1,20,1,420
2.01E+12,5,12,2,4,1,0,0,0
2.01E+12,5,8,2,3,2,0,0,0
2.01E+12,22,21,0,6,2,25,1,9000
2.01E+12,21,64,0,0,1,0,6,3500
2.01E+12,17,70,1,0,2,5,1,200
2.01E+12,16,58,0,0,1,60,1,110001
2.01E+12,19,56,1,0,2,20,6,3000
2.01E+12,36,93,4,0,1,0,6,59800
2.01E+12,19,71,0,0,2,0,6,16200
2.01E+12,20,76,1,0,1,0,6,47000
2.01E+12,24,27,0,0,1,40,1,40000
2.01E+12,31,27,9,0,1,40,1,32000
2.01E+12,25,27,9,6,2,40,1,40000
2.01E+12,19,65,0,0,2,0,6,34200
2.01E+12,21,20,14,6,2,0,6,0
2.01E+12,8,34,0,0,1,40,1,57000
2.01E+12,11,33,1,0,2,24,1,25000
2.01E+12,9,9,2,3,2,0,0,0
2.01E+12,10,6,2,2,1,0,0,0
2.01E+12,16,63,0,0,2,50,1,80000
2.01E+12,28,35,2,0,1,40,6,24000
2.01E+12,21,78,0,0,2,0,6,12100
2.01E+12,28,55,2,0,2,0,6,7200
2.01E+12,19,50,12,0,1,0,6,0
2.01E+12,29,54,0,0,2,40,1,70000
2.01E+12,47,62,1,0,1,50,1,176800
2.01E+12,20,57,0,0,1,40,3,29400
2.01E+12,19,49,1,0,2,38,1,26500
2.01E+12,14,57,0,0,2,40,1,52000
2.01E+12,13,40,0,0,1,48,1,40000
2.01E+12,17,39,1,0,2,60,1,50000
2.01E+12,19,17,2,5,1,55,6,4000
2.01E+12,10,14,2,5,2,0,0,0
2.01E+12,12,11,2,4,2,0,0,0
2.01E+12,14,42,0,0,1,25,1,32400
2.01E+12,18,37,1,0,2,25,1,30000
2.01E+12,43,18,2,0,1,10,3,5000
2.01E+12,19,17,2,5,2,0,6,0
2.01E+12,14,8,2,3,1,0,0,0
2.01E+12,12,6,2,3,2,0,0,0
2.01E+12,14,57,0,0,1,48,1,56000
2.01E+12,13,49,1,0,2,40,1,34500
2.01E+12,21,81,0,0,1,0,6,19700
2.01E+12,13,47,0,0,2,38,1,10000
2.01E+12,13,53,1,0,1,60,1,40000
2.01E+12,14,9,2,3,1,0,0,0
2.01E+12,19,30,0,0,2,0,6,0
2.01E+12,16,37,1,0,1,45,1,64000
2.01E+12,16,8,2,3,2,0,0,0
2.01E+12,18,6,2,2,1,0,0,0
2.01E+12,15,4,2,1,1,0,0,0
2.01E+12,67,59,0,0,2,40,1,16000
2.01E+12,32,52,1,0,1,40,1,40000
2.01E+12,101,22,2,0,2,40,1,18700
2.01E+12,15,42,0,0,1,30,1,13200
2.01E+12,43,41,0,0,1,40,1,75300
2.01E+12,13,66,0,0,2,0,6,22010
2.01E+12,9,50,0,0,1,40,1,50000
2.01E+12,17,18,2,0,2,20,1,5000
2.01E+12,15,66,0,0,1,0,6,15800
2.01E+12,69,35,0,0,2,40,1,28600
2.01E+12,61,15,2,5,1,0,0,0
2.01E+12,51,10,2,3,2,0,0,0
2.01E+12,74,22,12,0,2,40,1,15000
2.01E+12,26,66,0,0,2,0,6,17500
2.01E+12,14,44,0,0,1,40,1,12000
2.01E+12,12,13,2,4,2,0,0,0
2.01E+12,22,48,0,0,1,30,6,75000
2.01E+12,19,45,1,0,2,0,6,0
2.01E+12,21,23,2,6,2,30,1,9100
2.01E+12,12,72,13,0,1,0,6,15500
2.01E+12,11,46,0,0,1,45,1,79000
2.01E+12,13,37,1,0,2,0,6,3000
2.01E+12,12,9,2,3,2,0,0,0
2.01E+12,13,5,2,1,1,0,0,0
2.01E+12,18,0,2,0,2,0,0,0
2.01E+12,7,19,0,6,1,40,6,6000
2.01E+12,12,20,9,6,1,0,6,0
2.01E+12,23,48,0,0,2,56,1,61000
2.01E+12,23,11,2,4,2,0,0,0
2.01E+12,22,71,0,0,2,0,6,8400
2.01E+12,19,72,1,0,1,0,6,2520
2.01E+12,5,47,0,0,2,42,1,80000
2.01E+12,3,51,1,0,1,0,6,13000
2.01E+12,13,93,0,0,1,0,6,18800
2.01E+12,12,72,1,0,2,0,6,11000
2.01E+12,27,63,0,0,2,14,1,14700
2.01E+12,42,45,2,0,1,0,6,0
2.01E+12,15,70,0,0,1,0,6,12600
2.01E+12,18,65,1,0,2,0,6,10800
2.01E+12,23,39,2,0,1,40,1,25000
2.01E+12,14,4,5,1,1,0,0,0
2.01E+12,15,0,5,0,2,0,0,0
2.01E+12,24,28,6,0,2,40,1,25000
2.01E+12,23,66,14,0,2,0,6,11900
2.01E+12,16,20,0,6,2,18,6,2700
2.01E+12,19,19,9,6,2,60,6,2000
2.01E+12,18,18,9,6,2,15,1,1500
2.01E+12,21,28,0,6,2,40,1,24000
2.01E+12,19,5,2,2,1,0,0,0
2.01E+12,11,33,0,0,1,48,1,31200
2.01E+12,11,56,0,0,1,40,1,22000
2.01E+12,4,84,0,0,1,0,6,14760
2.01E+12,5,81,1,0,2,0,6,10360
2.01E+12,22,47,0,0,1,40,1,36150
2.01E+12,20,47,1,0,2,40,1,57100
2.01E+12,59,21,0,6,2,6,2,1100
2.01E+12,67,19,9,6,2,20,6,1700
2.01E+12,18,68,0,0,2,0,6,7600
2.01E+12,15,70,1,0,1,0,6,29200
2.01E+12,32,25,14,0,1,10,1,9300
2.01E+12,41,21,0,6,1,30,1,8000
2.01E+12,10,55,0,0,2,0,6,12000
2.01E+12,13,79,4,0,2,0,6,13000
2.01E+12,9,66,12,0,1,38,1,68400
2.01E+12,14,64,12,0,1,20,6,14600
2.01E+12,24,57,0,0,1,40,1,66700
2.01E+12,22,57,1,0,2,35,2,17000
2.01E+12,22,35,0,0,2,50,1,24000
2.01E+12,22,36,1,0,1,50,1,60000
2.01E+12,17,60,0,0,2,24,1,18700
2.01E+12,16,73,0,0,1,0,6,155000
2.01E+12,18,66,1,0,2,12,1,20000
2.01E+12,4,36,0,0,1,72,1,85000
2.01E+12,5,42,1,0,2,40,1,15000
2.01E+12,4,59,0,0,2,99,1,16000
2.01E+12,21,67,0,0,2,32,1,30000
2.01E+12,33,41,2,0,1,40,1,24000
2.01E+12,22,76,0,0,2,0,6,13300
2.01E+12,21,62,0,0,1,0,6,6720
2.01E+12,18,62,1,0,2,0,6,42600
2.01E+12,19,60,0,0,1,0,6,16430
2.01E+12,4,37,0,0,1,40,1,75000
2.01E+12,4,34,1,0,2,40,1,50000
2.01E+12,4,7,2,3,1,0,0,0
2.01E+12,4,4,2,1,2,0,0,0
2.01E+12,12,22,0,0,2,35,1,25000
2.01E+12,18,64,0,0,2,0,6,7500
2.01E+12,13,47,0,0,2,99,1,17000
2.01E+12,14,53,10,0,1,20,1,9500
2.01E+12,23,37,0,0,1,40,1,30000
2.01E+12,22,55,0,0,2,36,1,2200
2.01E+12,18,62,1,0,1,50,2,100000
2.01E+12,24,16,2,5,1,16,1,420
2.01E+12,50,34,0,0,1,40,1,20000
2.01E+12,57,37,1,0,2,45,1,16000
2.01E+12,54,8,2,3,2,0,0,0
2.01E+12,61,5,2,2,1,0,0,0
2.01E+12,70,38,0,0,2,5,1,870
2.01E+12,53,40,1,0,1,48,1,70000
2.01E+12,53,11,2,4,1,0,0,0
2.01E+12,53,9,2,3,1,0,0,0
2.01E+12,47,4,2,1,2,0,0,0
2.01E+12,10,50,0,0,1,45,1,42250
2.01E+12,9,51,1,6,2,25,1,800
2.01E+12,10,18,2,6,2,9,1,1200
2.01E+12,18,21,0,0,2,40,3,10000
2.01E+12,13,23,1,0,1,45,1,22000
2.01E+12,14,74,0,0,1,0,6,18200
2.01E+12,16,73,1,0,2,0,6,2500
2.01E+12,17,93,0,0,1,0,6,9700
2.01E+12,13,53,0,0,1,35,1,49700
2.01E+12,13,21,0,6,2,20,1,5000
2.01E+12,9,24,10,6,1,40,1,2500
2.01E+12,29,31,0,0,2,21,1,52760
2.01E+12,25,37,1,0,1,40,1,122760
2.01E+12,23,5,2,2,2,0,0,0
2.01E+12,23,2,2,0,1,0,0,0
2.01E+12,19,93,0,0,2,0,6,30000
2.01E+12,18,83,0,0,1,0,6,34300
2.01E+12,17,87,0,0,2,0,6,17800
2.01E+12,16,22,0,6,1,40,3,7800
2.01E+12,12,53,0,0,1,70,1,54000
2.01E+12,12,50,10,0,2,38,1,25000
2.01E+12,19,46,0,0,1,40,1,50000
2.01E+12,31,41,9,0,2,30,3,2200
2.01E+12,7,56,0,0,2,40,1,53000
2.01E+12,6,56,1,0,1,40,1,47000
2.01E+12,18,50,0,0,1,45,1,65400
2.01E+12,18,51,1,0,2,10,1,9600
2.01E+12,27,18,2,5,1,15,1,5700
2.01E+12,16,14,2,4,2,0,0,0
2.01E+12,25,41,0,0,1,40,1,55000
2.01E+12,25,7,5,3,1,0,0,0
2.01E+12,37,57,6,0,2,40,1,37100
2.01E+12,21,33,0,0,1,50,1,65000
2.01E+12,19,33,1,0,2,10,6,2014
2.01E+12,14,8,2,3,2,0,0,0
2.01E+12,14,6,2,3,2,0,0,0
2.01E+12,15,4,2,1,1,0,0,0
2.01E+12,21,19,14,6,1,0,6,0
2.01E+12,24,59,0,0,2,40,2,70000
2.01E+12,19,61,1,0,1,40,1,85000
2.01E+12,17,30,0,0,2,0,6,0
2.01E+12,13,34,1,0,1,50,1,61004
2.01E+12,16,7,2,3,1,0,0,0
2.01E+12,14,6,2,2,2,0,0,0
2.01E+12,20,4,2,0,2,0,0,0
2.01E+12,14,2,2,0,1,0,0,0
2.01E+12,6,81,0,0,1,0,6,32600
2.01E+12,6,80,1,0,2,0,6,3600
2.01E+12,18,56,0,0,1,40,1,19500
2.01E+12,22,55,1,0,2,0,6,12900
2.01E+12,7,34,0,0,1,40,1,50010
2.01E+12,7,13,2,4,2,0,0,0
2.01E+12,11,1,2,0,2,0,0,0
2.01E+12,9,31,10,0,2,30,1,20000
2.01E+12,18,64,0,0,1,0,6,26500
2.01E+12,11,53,1,0,2,32,1,14200
2.01E+12,20,75,0,0,1,0,6,19900
2.01E+12,19,70,1,0,2,0,6,6600
2.01E+12,10,73,13,0,2,0,6,10200
2.01E+12,13,60,0,0,2,0,6,7500
2.01E+12,23,39,2,0,2,0,6,0
2.01E+12,11,69,0,0,1,0,6,13450
2.01E+12,12,72,1,0,2,0,6,7100
2.01E+12,51,48,0,0,2,0,6,10900
2.01E+12,61,56,1,0,1,40,1,50000
2.01E+12,37,30,2,0,2,40,1,19500
2.01E+12,38,16,2,5,1,0,6,0
2.01E+12,12,47,0,0,2,45,1,73150
2.01E+12,10,60,1,0,1,42,1,78000
2.01E+12,18,58,0,0,2,20,1,122100
2.01E+12,62,30,0,0,1,40,1,60000
2.01E+12,56,28,1,0,2,32,1,22000
2.01E+12,15,32,0,0,1,40,1,71900
2.01E+12,19,32,1,0,2,0,6,0
2.01E+12,16,2,2,0,1,0,0,0
2.01E+12,21,50,0,0,1,45,1,150020
2.01E+12,19,46,1,0,2,50,1,70000
2.01E+12,22,8,2,3,2,0,0,0
2.01E+12,11,4,2,1,2,0,0,0
2.01E+12,18,43,0,0,2,36,1,20000
2.01E+12,39,18,2,0,1,40,1,3000
2.01E+12,13,44,10,0,1,40,1,10000
2.01E+12,7,34,0,0,2,0,6,0
2.01E+12,6,37,1,0,1,40,1,25000
2.01E+12,6,14,2,5,1,0,0,0
2.01E+12,5,7,2,2,2,0,0,0
2.01E+12,7,5,2,0,1,0,0,0
2.01E+12,15,28,0,0,2,26,1,20020
2.01E+12,15,42,1,0,1,40,1,40020
2.01E+12,12,11,2,4,2,0,0,0
2.01E+12,12,1,2,0,1,0,0,0
2.01E+12,21,16,8,5,1,0,6,0
2.01E+12,9,44,0,0,2,50,1,64000
2.01E+12,14,58,0,0,1,0,6,13000
2.01E+12,14,78,0,0,2,0,6,26000
2.01E+12,4,47,0,0,2,0,6,0
2.01E+12,5,48,1,0,1,40,1,25000
2.01E+12,8,40,0,0,1,40,1,60000
2.01E+12,8,17,2,5,1,0,3,0
2.01E+12,7,11,2,4,2,0,0,0
2.01E+12,11,62,0,0,2,0,6,2400
2.01E+12,8,67,1,0,1,0,6,16200
2.01E+12,25,22,0,6,2,15,1,3500
2.01E+12,25,22,10,6,1,40,1,20000
2.01E+12,69,36,0,0,1,50,1,50000
2.01E+12,36,32,1,0,2,40,6,22700
2.01E+12,49,9,2,3,1,0,0,0
2.01E+12,65,7,2,3,2,0,0,0
2.01E+12,63,0,2,0,1,0,0,0
2.01E+12,5,33,0,0,1,40,1,50000
2.01E+12,5,32,1,0,2,15,1,15000
2.01E+12,4,10,2,3,1,0,0,0
2.01E+12,4,9,2,3,2,0,0,0
2.01E+12,4,3,2,0,1,0,0,0
2.01E+12,4,1,2,0,2,0,0,0
2.01E+12,11,68,0,0,1,0,6,69600
